,1gram,2gram,3gram,sk2gram,sk3gram
arabic,1.0,1.0,0.9333333333333333,1.0,0.8571428571428571
english,1.0,1.0,1.0,1.0,0.7142857142857143
french,1.0,1.0,0.9090909090909091,1.0,0.8333333333333334
german,1.0,1.0,1.0,1.0,1.0
russian,1.0,1.0,0.8888888888888888,0.7142857142857143,0.9166666666666666
