form,freq
suɔ01,1
suɔ01,1
suɔ01,1
sɯ22,1
sɯ22,1
sɯ22,1
sɯ20,1
sɯ01,1
sɯ01,1
sʊŋ22,1
sʊŋ20,1
swan20,1
sweɪ20,1
sweɪ12,1
ʂa22,1
ʂa22,1
ʂa22,1
ʂa20,1
ʂan22,1
ʂɑŋ22,1
ʂɑŋ20,1
ʂɑŋ20,1
ʂɑʊ01,1
ʂeɪ12,1
ʂən22,1
ʂən22,1
ʂən22,1
ʂən12,1
ʂɚ22,1
ʂɚ22,1
ʂɚ22,1
ʂɚ20,1
ʂɚ20,1
ʂɚ20,1
ʂɚ20,1
ʂɚ20,1
ʂɚ20,1
ʂɚ20,1
ʂɚ20,1
ʂɚ20,1
ʂɚ20,1
ʂɚ20,1
ʂɚ20,1
ʂɚ20,1
ʂɚ20,1
ʂɚ20,1
ʂɚ12,1
ʂɚ12,1
ʂɚ12,1
ʂɚ12,1
ʂɚ01,1
ʂɚ01,1
ʂɚ01,1
ʂɤ20,1
ʂɤŋ22,1
ʂɤŋ22,1
ʂɤŋ22,1
ʂɤŋ22,1
ʂoʊ22,1
ʂoʊ20,1
ʂoʊ01,1
ʂu22,1
ʂu20,1
ʂu20,1
ʂuɔ22,1
ʂweɪ20,1
ʂweɪ01,1
ta20,1
ta20,1
ta12,1
ta01,1
ta01,1
taɪ20,1
taɪ20,1
taɪ20,1
taɪ20,1
tan22,1
tan22,1
tan20,1
tan20,1
tan20,1
tan20,1
tan20,1
tɑŋ22,1
tɑʊ20,1
tɑʊ20,1
tɑʊ01,1
tɑʊ01,1
tɕʰi22,1
tɕʰi20,1
tɕʰi20,1
tɕʰi12,1
tɕʰi12,1
tɕʰi12,1
tɕʰi12,1
tɕʰi01,1
tɕʰɪn22,1
tɕʰɪŋ22,1
tɕʰɪŋ22,1
tɕʰɪŋ12,1
tɕʰɪŋ01,1
tɕʰja01,1
tɕʰjɑŋ22,1
tɕʰjɑŋ12,1
tɕʰjɑʊ12,1
tɕʰjɛ01,1
tɕʰjɛn12,1
tɕʰjɛn12,1
tɕʰjoʊ12,1
tɕʰjoʊ12,1
tɕʰɥœ20,1
tɕʰɥœ20,1
tɕʰɥœn12,1
tɕʰɥœn12,1
tɕʰɥœn12,1
tɕʰy22,1
tɕʰy20,1
tɕʰy12,1
tɕi22,1
tɕi22,1
tɕi22,1
tɕi20,1
tɕi20,1
tɕi20,1
tɕi12,1
tɕi12,1
tɕi12,1
tɕi12,1
tɕi12,1
tɕɪn22,1
tɕɪn22,1
tɕɪn20,1
tɕɪn01,1
tɕɪn01,1
tɕɪŋ22,1
tɕɪŋ20,1
tɕɪŋ01,1
tɕɪŋ01,1
tɕja22,1
tɕja22,1
tɕja22,1
tɕja20,1
tɕjɑŋ22,1
tɕjɑŋ01,1
tɕjɑʊ22,1
tɕjɑʊ20,1
tɕjɑʊ20,1
tɕjɑʊ01,1
tɕjɛ22,1
tɕjɛ12,1
tɕjɛ12,1
tɕjɛ12,1
tɕjɛ01,1
tɕjɛn22,1
tɕjɛn20,1
tɕjɛn20,1
tɕjɛn20,1
tɕjɛn01,1
tɕjoʊ20,1
tɕjoʊ20,1
tɕjoʊ20,1
tɕjoʊ01,1
tɕɥœ12,1
tɕɥœ12,1
tɕɥœ12,1
tɕy20,1
tɕy12,1
tɕyn22,1
tɤ1,1
tɤ12,1
tɤ12,1
tɤ12,1
tɤŋ22,1
tɤŋ01,1
tʰa22,1
tʰa22,1
tʰa22,1
tʰa22,1
tʰa01,1
tʰaɪ20,1
tʰaɪ20,1
tʰaɪ20,1
tʰan20,1
tʰan12,1
tʰɤ20,1
tʰi20,1
tʰi12,1
tʰi12,1
tʰi01,1
tʰɪŋ22,1
tʰɪŋ12,1
tʰjɑʊ20,1
tʰjɑʊ12,1
tʰjɛn22,1
tʰoʊ12,1
tʰu12,1
tʰuɔ22,1
tʰuɔ22,1
tʰʊŋ22,1
tʰʊŋ12,1
tʰʊŋ01,1
ti20,1
ti20,1
ti20,1
ti12,1
tɪŋ20,1
tjɑʊ20,1
tjɑʊ20,1
tjɛ12,1
tjɛn20,1
tjɛn20,1
tjɛn01,1
tsaɪ20,1
tsaɪ20,1
tsan12,1
tsɑʊ01,1
tsɑʊ01,1
tsən01,1
tsɤ12,1
tsɤ12,1
tsɤ12,1
tsʰaɪ22,1
tsʰaɪ12,1
tsʰaɪ12,1
tsʰan22,1
tsʰɑʊ22,1
tsʰɤŋ12,1
tsʰuɔ20,1
tsʰɯ20,1
tsʰɯ01,1
tsʰʊŋ22,1
tsʰʊŋ12,1
tsoʊ01,1
tsoʊ01,1
tsoʊ01,1
tsu01,1
tsuɔ20,1
tsuɔ20,1
tsuɔ20,1
tsuɔ12,1
tsɯ22,1
tsɯ20,1
tsɯ20,1
tsɯ20,1
tsɯ20,1
tsɯ20,1
tsɯ20,1
tsɯ01,1
tsʊŋ01,1
tsweɪ20,1
tsweɪ20,1
tsweɪ01,1
tu22,1
tu20,1
tu12,1
tuən20,1
tuɔ22,1
tuɔ22,1
tuɔ22,1
tʊŋ22,1
tʊŋ20,1
tʊŋ01,1
twan22,1
twan20,1
tweɪ20,1
tweɪ20,1
ʈʂa20,1
ʈʂan20,1
ʈʂan20,1
ʈʂɑŋ22,1
ʈʂɑŋ20,1
ʈʂɑʊ20,1
ʈʂɑʊ20,1
ʈʂɑʊ12,1
ʈʂɑʊ01,1
ʈʂɑʊ01,1
ʈʂən22,1
ʈʂən22,1
ʈʂən22,1
ʈʂɚ22,1
ʈʂɚ22,1
ʈʂɚ22,1
ʈʂɚ22,1
ʈʂɚ22,1
ʈʂɚ20,1
ʈʂɚ20,1
ʈʂɚ12,1
ʈʂɚ01,1
ʈʂɚ01,1
ʈʂɤ20,1
ʈʂɤ01,1
ʈʂɤŋ22,1
ʈʂɤŋ20,1
ʈʂɤŋ20,1
ʈʂɤŋ01,1
ʈʂʰa20,1
ʈʂʰa12,1
ʈʂʰan01,1
ʈʂʰɑŋ12,1
ʈʂʰɑŋ12,1
ʈʂʰɑŋ12,1
ʈʂʰɑʊ22,1
ʈʂʰɚ22,1
ʈʂʰɤ22,1
ʈʂʰɤŋ12,1
ʈʂʰɤŋ12,1
ʈʂʰɤŋ12,1
ʈʂʰɤŋ12,1
ʈʂʰɤŋ12,1
ʈʂʰu22,1
ʈʂʰu22,1
ʈʂʰu20,1
ʈʂʰwan22,1
ʈʂʰwan12,1
ʈʂʰwan12,1
ʈʂoʊ22,1
ʈʂoʊ22,1
ʈʂu20,1
ʈʂu20,1
ʈʂu20,1
ʈʂu20,1
ʈʂu20,1
ʈʂu12,1
ʈʂu01,1
ʈʂuən01,1
ʈʂʊŋ22,1
ʈʂʊŋ22,1
ʈʂʊŋ22,1
ʈʂʊŋ20,1
ʈʂʊŋ01,1
ʈʂwa22,1
ʈʂwa22,1
ʈʂwan01,1
ʈʂwɑŋ22,1
ʈʂweɪ22,1
u20,1
u20,1
u12,1
u01,1
u01,1
u01,1
uaɪ20,1
uaɪ20,1
uən20,1
uən12,1
uɔ01,1
uɔ01,1
uɔ01,1
ɥœ22,1
ɥœ20,1
ɥœn20,1
ɥœn20,1
ɥœn12,1
ɥœn12,1
ɥœn12,1
ɥœn01,1
wa22,1
wa01,1
wan20,1
wan12,1
wan12,1
wan12,1
wan12,1
wan01,1
wan01,1
wɑŋ20,1
wɑŋ12,1
weɪ22,1
weɪ22,1
weɪ20,1
weɪ20,1
weɪ20,1
weɪ20,1
weɪ12,1
weɪ12,1
xa22,1
xaɪ22,1
xaɪ20,1
xaɪ20,1
xaɪ12,1
xaɪ01,1
xɑʊ20,1
xɑʊ01,1
xɑʊ01,1
xɑʊ01,1
xeɪ22,1
xeɪ22,1
xən01,1
xɤ22,1
xɤ12,1
xɤ12,1
xɤ12,1
xoʊ20,1
xoʊ20,1
xu20,1
xuaɪ20,1
xuaɪ12,1
xuən22,1
xuən20,1
xuɔ20,1
xuɔ20,1
xuɔ12,1
xuɔ01,1
xuɔ01,1
xʊŋ12,1
xwa22,1
xwa20,1
xwa20,1
xwa20,1
xwa20,1
xwa12,1
xwan22,1
xwan20,1
xwan12,1
xweɪ20,1
xweɪ12,1
xweɪ12,1
xweɪ01,1
y20,1
y12,1
y12,1
y12,1
y01,1
y01,1
yn20,1
ʐan12,1
ʐan12,1
ʐɑŋ20,1
ʐən20,1
ʐən20,1
ʐən20,1
ʐən12,1
ʐɚ20,1
ʐɤ20,1
ʐu20,1
ʐu12,1
ʐu12,1
ʐu12,1
ʐweɪ20,1
01,
