,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,1.0,1.0,0.9787169102922159
english,0.21581716552716557,0.3299895472527792,0.19444444444444445,0.3333333333333333,0.3726779962499649,0.3052058300015078,0.303339349350811
french,0.3854955397219413,0.3117659538818719,,0.34850530571647353,0.3170828390240679,0.3902661813527945,0.28630310708586615
finnish,0.2830286226645996,0.6409998090255148,0.1935934168651935,0.44147576989690485,0.5544022105167269,0.44736889731442037,0.4750445312632086
german,0.32455729605581274,0.3171955234499534,0.2542372881355932,0.32246890408457046,0.4278161554055304,0.3990729999126216,0.4548588261473421
greek,1.0,1.0,1.0,1.0,1.0,1.0,0.8579774660996804
hebrew,1.0,1.0,1.0,1.0,0.8910891089108911,1.0,0.7988545699204594
icelandic,0.4362050451767289,0.21052631578947367,0.5,0.47515923523612397,1.0,0.5753695826647881,0.5303300858899106
russian,1.0,1.0,1.0,0.9709835434146469,0.7337993857053428,0.9886363636363636,1.0
spanish,0.2721655269759087,0.2614881801842454,0.42857142857142855,0.3116137725657323,0.4271235410879189,0.4576998739638812,0.38630089834890147
swahili,0.44964431302260915,0.41889979849126274,0.4149132666831217,0.6352994280170822,0.3803049133125074,0.4883585058151629,0.4479608200736647
turkish,0.3990899574104832,1.0,0.8016380578104618,0.7071067811865476,0.5773502691896257,1.0,1.0
