,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
english,0.8,0.5,0.75,0.75,0.6666666666666666,0.25,0.4
french,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.8,0.8571428571428571,0.8333333333333334
finnish,0.5,0.8571428571428571,1.0,1.0,0.8,1.0,1.0
german,0.6666666666666666,0.5,0.75,0.75,0.8,0.75,0.8333333333333334
greek,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hebrew,1.0,1.0,1.0,1.0,1.0,1.0,1.0
icelandic,0.5555555555555556,1.0,0.75,0.75,1.0,1.0,0.8
russian,1.0,1.0,1.0,1.0,1.0,1.0,1.0
spanish,0.75,0.5,0.875,1.0,0.6,1.0,0.5
swahili,1.0,1.0,0.75,1.0,0.5,0.6666666666666666,1.0
turkish,1.0,1.0,0.75,0.5,1.0,0.75,1.0
