,1gram,2gram,3gram,sk2gram,sk3gram
arabic,1.0,0.6121169600539323,0.5528821292499313,0.6989233568132954,0.29186592911702725
english,0.4573886860786573,0.42632441002517607,0.42555817745832963,0.40958802112939,0.38143509179195867
french,0.4005663056169777,0.4258952158141193,0.4005347837998908,0.39499696840295856,0.3785512471966816
german,0.45757778950892364,0.4779561413973862,0.43142552174109344,0.3919926126337857,0.3764448367460132
russian,1.0,0.573993598091809,0.6989995072422056,0.5440695955417865,0.4984296203382177
