,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,1.0,0.9981600554127944,0.9973261904477292
english,0.3385133543331479,0.24209101306752095,0.2916666666666667,,0.32333633429725095,0.34401458555954556,0.26524721526753414
french,0.20612499370985782,0.2329504301870447,0.24298269569231484,0.1735568839850774,0.2349397590361446,0.331589290439792,0.2920871686918351
finnish,0.40585801793756254,0.27376332185688257,0.4303157351402253,0.4987546680538164,0.34000597109708286,0.49528821654981997,0.533346380319903
german,0.27702741028012307,0.39370711564214406,0.6324555320336759,0.6123724356957946,0.3821790130040007,0.5339805825242718,0.36257309941520466
greek,1.0,1.0,1.0,0.941908713692946,1.0,1.0,0.9590175394240146
hebrew,1.0,1.0,1.0,1.0,1.0,1.0,1.0
icelandic,0.46656389460215597,0.34913164920538386,0.6320306280256086,0.6180796646955086,0.7357922886275104,0.6239586922281126,1.0
russian,1.0,1.0,1.0,0.9475276353284284,0.995412650532132,0.9085602964160698,1.0
spanish,0.20314400365990584,0.5194624816493197,0.4449662767768718,1.0,0.43319119004401563,1.0,1.0
swahili,0.5961538461538461,0.49990690993986675,0.5241157775532455,0.4258991621807723,0.33517104078525145,0.4550553718076863,0.4087502753325765
turkish,0.5191373094849674,0.42081270576508656,0.4499117992921352,0.9565217391304348,1.0,0.45374260648651504,0.37489421679356605
