,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
english,0.2572062606667056,0.26773977630083295,,0.3461538461538461,0.3126143411312653,0.2761443098489721,0.4005082385279269
french,0.44536434161934113,0.20565006901716984,0.2603438788774864,0.2763986369959028,0.33704586522805274,0.3494894235064305,0.35928243177090574
finnish,0.5999475114813613,0.38515738365376423,0.32826608214930647,0.3322550814058249,0.37239989890219477,0.43803477104454597,0.5862751567019776
german,1.0,0.39795878903790644,0.25233338894965945,0.3944053188733077,0.5056823046334451,1.0,0.6822570396306888
greek,1.0,1.0,1.0,1.0,1.0,1.0,0.9934708152651321
hebrew,1.0,1.0,1.0,1.0,1.0,1.0,1.0
icelandic,0.8075728530872482,0.37050359712230213,0.4330127018922193,0.46625240412015684,0.4803844614152614,1.0,0.7208434242404262
russian,1.0,1.0,1.0,1.0,1.0,0.9689083099511724,0.8930946061230166
spanish,0.3509712012517847,0.326132841602572,0.5773502691896257,1.0,0.4497445458197372,1.0,1.0
swahili,0.3786861203269319,0.4021233554219437,0.38865323490554526,0.2897108073186057,0.48514675341969843,0.38054646684579524,0.41880383410954475
turkish,0.7229811807984657,0.40245606712773635,1.0,0.5423261445466404,1.0,0.4733015285392207,0.7186082239261684
