,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
english,0.2857142857142857,0.0,0.0,1.0,0.5,0.25,0.6666666666666666
french,0.6,0.0,0.0,0.5,0.25,0.5,0.42857142857142855
finnish,1.0,0.3333333333333333,0.5,0.3333333333333333,0.75,0.5,1.0
german,1.0,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,1.0,1.0
greek,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hebrew,1.0,1.0,1.0,1.0,1.0,1.0,1.0
icelandic,1.0,1.0,0.5,0.5,0.5,1.0,0.75
russian,1.0,1.0,1.0,1.0,1.0,1.0,1.0
spanish,0.4,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0
swahili,0.5,0.6666666666666666,0.5,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666
turkish,0.8,0.5,1.0,0.5,1.0,0.5,0.75
