,1gram,2gram,3gram,sk2gram,sk3gram
arabic,1.0,1.0,1.0,0.969814385914109,0.9968303348670168
english,0.5727531236667314,0.5739829174403586,0.6076270919997525,0.685788819392819,0.701817733072931
french,0.8017123768258299,0.47134499626010545,0.4948461054346177,0.719486393120317,0.6029501973961897
german,0.632576648579802,0.6363923822579672,0.6539819977784604,0.7512672099885415,0.5354702453687439
greek,1.0,1.0,1.0,0.9846107322422263,0.9704479901085188
hebrew,1.0,1.0,1.0,0.9973332573762871,1.0
russian,1.0,1.0,1.0,1.0,0.9984101721997216
