,1gram,2gram,3gram,sk2gram,sk3gram
arabic,1.0,1.0,1.0,1.0,1.0
english,1.0,0.9028205843144584,0.5258733844706807,0.818012448451183,0.7336393394669584
french,0.9302633997955508,0.8465097537745362,1.0,0.8441208798441101,0.7676298919328178
german,0.9489065273355686,0.9514350617911075,0.7694170783481126,0.8853125037184624,0.8416048264870936
greek,1.0,1.0,1.0,0.9977527635439709,0.9970802608126799
hebrew,1.0,1.0,1.0,1.0,1.0
russian,1.0,1.0,1.0,1.0,1.0
