,20
arabic-1g,0.924389710013122
arabic-2g,0.7468558043344827
arabic-3g,0.7334036875269367
arabic-sk2g,0.5086292055448569
arabic-sk3g,0.5867373980834971
english-1g,0.7290229911953844
english-2g,0.8484611091558515
english-3g,0.5261202912479921
english-sk2g,0.48447681095174383
english-sk3g,0.2957779516447544
french-1g,0.7071258882532417
french-2g,0.6334655558365626
french-3g,0.46258231101004943
french-sk2g,0.7185073442679415
french-sk3g,0.5419035386095316
german-1g,0.6683042906100398
german-2g,0.5392298160508857
german-3g,0.7452490288821424
german-sk2g,0.4938942436332924
german-sk3g,0.2932010739161716
russian-1g,0.94571481336559
russian-2g,0.8100420019826935
russian-3g,0.6493056890854392
russian-sk2g,0.5353255267849921
russian-sk3g,0.5493812459805866
purity_threshold,0.37040911034085894
