,1g,2g,3g,sk2g,sk3g,xsk2g,xsk3g
arabic,1.0,1.0,1.0,1.0,1.0,1.0,0.9621954581957616
english,0.3620856817905492,0.31744258338016845,0.3301850043130612,0.4331016455419897,0.3591096057889475,0.491194283141105,0.5780028897536568
french,0.6783103175719322,0.3864211005733587,0.35269586760810256,0.40509101722914803,0.449025165337239,0.38513580214594867,0.4422186270303827
finnish,0.3988842891761499,0.6389611770544147,0.5057731566484494,0.44512003812841183,0.34018525771358293,0.4472135954999579,0.5107181223848132
german,0.45640849708571407,0.3333333333333333,0.46415888336127786,0.39278045271707934,0.45822519025931935,0.5301133299431741,0.5839017771663129
greek,1.0,1.0,1.0,0.9410360288810286,1.0,1.0,0.974757385530792
hebrew,1.0,1.0,1.0,1.0,1.0,1.0,0.9668369001201536
icelandic,0.5967081010294366,0.4364357804719847,0.39720543004817765,1.0,1.0,0.7071067811865476,0.7872725666763026
russian,1.0,1.0,1.0,1.0,0.9960473070779878,0.9427633269367937,1.0
spanish,0.5899759407545301,0.18055555555555555,0.3660321665951313,1.0,0.6933612743506347,1.0,0.5318295896944989
swahili,0.6013637829940587,0.5895370148173033,0.4646393294661973,0.6623117408328146,0.5250058997838555,0.5949395954107187,0.3750788798120266
turkish,0.5266403878479265,0.3278530397223296,0.4899973050296446,0.5818107591526881,1.0,0.7547394190306372,0.4805622828269508
