,13
arabic-1gram,1.0
arabic-2gram,1.0
arabic-3gram,1.0
arabic-sk2gram,0.8833100850105196
arabic-sk3gram,0.850458108311224
arabic-xsk2gram,1.0
arabic-xsk3gram,0.8381107206628525
english-1gram,0.4526614676556395
english-2gram,0.39238886113951815
english-3gram,0.6109144182571739
english-sk2gram,0.6130009376231893
english-sk3gram,0.41037807331838794
english-xsk2gram,0.5485295119535584
english-xsk3gram,0.4354709017454561
french-1gram,0.6878550826144861
french-2gram,0.6212738328259232
french-3gram,0.47976703412949767
french-sk2gram,0.5276233903904765
french-sk3gram,0.46173475705860334
french-xsk2gram,0.69407426244723
french-xsk3gram,0.5723365015757667
german-1gram,0.6254319642275675
german-2gram,0.6942927104807488
german-3gram,0.5986949835080793
german-sk2gram,0.8067840821062203
german-sk3gram,0.6052929202456254
german-xsk2gram,0.7069900450472522
german-xsk3gram,0.4403806951189227
russian-1gram,1.0
russian-2gram,1.0
russian-3gram,1.0
russian-sk2gram,1.0
russian-sk3gram,0.9635286392804219
russian-xsk2gram,1.0
russian-xsk3gram,0.8225024753563812
