,6
arabic-1gram,1.0
arabic-2gram,1.0
arabic-3gram,1.0
arabic-sk2gram,1.0
arabic-sk3gram,1.0
arabic-xsk2gram,0.9907026199349354
arabic-xsk3gram,1.0
english-1gram,0.6636033575684618
english-2gram,0.5529120670806099
english-3gram,0.5802514810063477
english-sk2gram,0.827626275989524
english-sk3gram,0.7611918233270052
english-xsk2gram,0.6471086635574236
english-xsk3gram,0.5180153835922747
french-1gram,0.9497474307316321
french-2gram,0.6470827912533006
french-3gram,0.3958908712674391
french-sk2gram,0.774151301995987
french-sk3gram,0.5060667784949593
french-xsk2gram,0.8382243946174686
french-xsk3gram,0.7619529095662776
german-1gram,0.9024239780439647
german-2gram,0.642690373521022
german-3gram,0.7572595733500835
german-sk2gram,0.761824511949299
german-sk3gram,0.5771465431393078
german-xsk2gram,0.6585153152217983
german-xsk3gram,0.7941747811681542
russian-1gram,1.0
russian-2gram,1.0
russian-3gram,1.0
russian-sk2gram,1.0
russian-sk3gram,1.0
russian-xsk2gram,1.0
russian-xsk3gram,0.9801873183863783
