,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,0.9638106118842875,0.8589740642438326,1.0
english,0.9410360288810286,0.5417963896341179,0.5327597964768702,0.5945718980201115,0.5352472746461642,0.6321402851367303,0.5768413053988318
french,0.7687113881748548,0.554633008605601,0.6460252129818695,0.5631602133446937,0.5155277654409709,0.6760728237568164,0.5222859397925724
german,0.4992533565481779,0.5617261202771099,0.6171120271736297,0.6947463840420446,0.5652887669838913,0.5806802679166035,0.5454926349195617
russian,1.0,1.0,1.0,1.0,0.9039125735618704,0.7738237591870735,0.928566389315628
