,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
english,0.47072975758917224,0.5462072257276099,0.6064603198426353,0.5334438254193659,0.5856596027429395,0.5326274245141285,0.428962984228655
french,0.4705392099009209,0.5251119567230574,0.47556113180028214,0.6901282364347892,0.48361474552093725,0.64835939528002,0.5781880930585845
german,0.5328858142981533,0.47307753669144553,0.5714890306670825,0.5836284885011841,0.4842807298069988,0.6317682578545105,0.5439200548834431
russian,1.0,1.0,1.0,0.981104880573281,0.9210078746600967,1.0,0.7191180200066344
