,1g,2g,3g,sk2g,sk3g,xsk2g,xsk3g
arabic,0.5603354227567043,0.4740940737706413,0.4453703755376474,0.3945391493243037,0.36647954011719946,0.3481741419121725,0.24027402958482952
english,0.3243833796764421,0.34156502553198653,0.22672751986978276,0.25369706045880275,0.28427499931868094,0.24902071024876665,0.2342585153163683
french,0.36363636363636365,0.30813391353661784,0.2646915418196852,0.31239399369202553,0.22799398875233293,0.27902747108728687,0.28160578338826286
finnish,0.2820735696610417,0.2906834672018656,0.29117887305197737,0.27190842121914915,0.19640024396816236,0.31450786362206357,0.2766598099255852
german,0.3452286541637282,0.3164738928755827,0.37568045578514203,0.2145697687084876,0.2997748612234973,0.3144549184499961,0.29035341352150407
greek,0.6427861579939637,0.4080820427521468,0.30571070873287987,0.36993641102507285,0.2584865769785853,0.3117659538818719,0.257576526896156
hebrew,0.7476104374175362,0.4471894336270507,0.4390284990459804,0.40530024662951236,0.40145310162592596,0.4200217269691472,0.40568086610523685
icelandic,0.3945906636970461,0.35395291959831154,0.34284129054776835,0.2517159988023888,0.3086066999241838,0.3378817374423888,0.24744880157997634
russian,0.752325917975344,0.35851913688106046,0.47214089646982593,0.3374202170448103,0.25044463179891485,0.3472697560342147,0.32359732977286554
spanish,0.3595246608267847,0.28128693000492677,0.31284162551250927,0.30385814934827476,0.2571578243278833,0.3194428583114973,0.29126011529787643
swahili,0.37458132914021675,0.3089610368270626,0.418286448568372,0.2566483869569294,0.30257773336209337,0.3457859600653513,0.2623551838602933
turkish,0.4101522193965015,0.33437015248821095,0.3146018624564685,0.2882502849958565,0.3415413115020401,0.3169566632925983,0.2487211297718674
