,1g,2g,3g,sk2g,sk3g,xsk2g,xsk3g
arabic,0.516384359537841,0.39824152705343924,0.41947091652959545,0.4274888821092525,0.347748822230812,0.28612473964418567,0.2518503297171685
english,0.3333333333333333,0.3499514023876008,0.24731804196464285,0.3112151390433451,0.22303758636942123,0.37423320322286824,0.3059008236983673
french,0.3303164318013807,0.3334248581503534,0.25308613830187815,0.309764604274387,0.2756790361333425,0.2853991364714105,0.30172050652128485
finnish,0.3040239898048949,0.2599670115403161,0.2745352969527081,0.32378185165137846,0.33379751019921233,0.2061171586952688,0.2935527180569892
german,0.34871521192437793,0.3348905416443963,0.33788723725390035,0.2794613272864101,0.32832513453597606,0.2977728007090598,0.31794654286025353
greek,0.5678365900937209,0.37805357101553877,0.3995464199965444,0.42843176531460997,0.2886308228307065,0.32565240117557626,0.30411009977867
hebrew,0.5631475513824756,0.47406731703065236,0.4644373564759969,0.3627173910734087,0.5408903705332014,0.37956765425141553,0.41179885910344655
icelandic,0.3314719237317563,0.29754946476612687,0.28308543960649724,0.39059030831128655,0.31410396138390984,0.2863317805368453,0.29491399786094924
russian,0.5118318466669783,0.37236413368324955,0.2762569772569951,0.3549481056010052,0.32883299029315954,0.2973017787506803,0.22833557019814707
spanish,0.3750543830881935,0.37643329670503173,0.30306792058355286,0.3024399781051598,0.3141540294886656,0.286577027048091,0.28668753699124294
swahili,0.3153769456747449,0.41830096963048075,0.29638216817471447,0.3644304032965539,0.29185565404216235,0.3041879222421821,0.29240177382128657
turkish,0.32362856902958537,0.28267711793814165,0.2607900431247221,0.3022961986055097,0.2794613272864101,0.35907137500420605,0.31937205352460785
