,1g,2g,3g,sk2g,sk3g,xsk2g,xsk3g
arabic,0.6727481304281803,0.6712618817902897,0.4335207703406537,0.38547458490012565,0.2368249029589275,0.3963806961395288,0.3857906288925115
english,0.3147742575467067,0.30233179402036897,0.301228386336675,0.24469914286107722,0.3415413115020401,0.2592551456952397,0.2645927735653353
french,0.30952196034192275,0.24037492838456806,0.3085193377643026,0.24617681713508605,0.27972500718311755,0.31336917323307323,0.23989737341556633
finnish,0.30564144154028594,0.28732775446422326,0.21196796658966527,0.28171808490950556,0.2628061938922742,0.25,0.27050733589411374
german,0.22417242445196106,0.29378144514751514,0.32716087856015313,0.2991958194191825,0.24958756457829537,0.3050456931741087,0.300964632714423
greek,0.9582767658576116,0.5058533388921514,0.4079701732650983,0.26655098997320253,0.31823566221963034,0.28714208985513673,0.25347355350366607
hebrew,0.7088999695088456,0.5876364321932916,0.45854211934766614,0.39192584723273294,0.34465379197812074,0.3158568701026875,0.41039596484458923
icelandic,0.2656646422956528,0.3105539707359745,0.26538829878286946,0.24180854529441662,0.2553122488820222,0.306450020814925,0.3158075288546444
russian,0.8029755582575702,0.40560541659945754,0.3685625611153632,0.3085826616594379,0.286272207691435,0.35787567036919865,0.2798273025370567
spanish,0.2882471495268551,0.31617509211134787,0.2629535894329295,0.2576323086173981,0.26189293164591476,0.23617937407638653,0.30779775394058095
swahili,0.3364932442330151,0.2680091783669163,0.36930985134853767,0.24280888001609002,0.2825427336717681,0.34487394370617774,0.23795838426208443
turkish,0.3792656004256081,0.3437239432161134,0.26062656375895654,0.304125605603966,0.28941787404774666,0.312197466262026,0.2697022371900737
