,1g,2g,3g,sk2g,sk3g,xsk2g,xsk3g
arabic,1.0,1.0,1.0,1.0,0.875,0.75,0.8
english,1.0,1.0,1.0,1.0,1.0,1.0,1.0
french,1.0,1.0,1.0,1.0,0.8,0.8333333333333334,0.8333333333333334
finnish,1.0,1.0,1.0,1.0,0.6666666666666666,0.8333333333333334,1.0
german,0.8,0.8333333333333334,1.0,1.0,0.8333333333333334,0.875,0.6666666666666666
greek,1.0,1.0,1.0,0.875,1.0,0.8333333333333334,1.0
hebrew,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0
icelandic,1.0,1.0,1.0,1.0,0.8,1.0,1.0
russian,1.0,1.0,1.0,1.0,0.7777777777777778,1.0,0.8333333333333334
spanish,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.3333333333333333
swahili,1.0,1.0,1.0,1.0,1.0,1.0,1.0
turkish,0.75,1.0,0.8333333333333334,1.0,1.0,1.0,0.8
