,1g,2g,3g,sk2g,sk3g,xsk2g,xsk3g
arabic,0.752091207219025,0.5281111119150774,0.35758337962243486,0.3057972529181636,0.32879427745412537,0.38729833462074165,0.2881144041349797
english,0.3603121118769153,0.3246080642925473,0.289700920745506,0.33880545670024054,0.28612473964418567,0.27369891455621287,0.31483875079806106
french,0.40249496051128997,0.2777566121439121,0.2741280624011343,0.28857677391702247,0.28264112670593616,0.2837685827487985,0.30862812722529565
finnish,0.41567211659530096,0.28734502790330213,0.3351615399336916,0.26333521951055994,0.2548088668827983,0.25171695924804555,0.23002185311411807
german,0.2786740997689883,0.3152831811357245,0.4087281129848986,0.2743944701376182,0.2243791521663829,0.2467518358359861,0.2170350149233084
greek,0.5946518384138758,0.7553086542360408,0.28957304632206726,0.3536822135124066,0.32123764587947334,0.2794870282142065,0.3813613530354765
hebrew,0.6444180631459988,0.572525182747798,0.4526902875950783,0.4251415002085969,0.39602946626083024,0.3736429487853069,0.33308729452509556
icelandic,0.3409123510541019,0.32466791547509893,0.37208812352912846,0.22404214669284028,0.26909237118796003,0.24504705196534743,0.2464644980943416
russian,0.5864245004982692,0.4001805838089107,0.47227465854253997,0.23985463761871548,0.2563943409272628,0.4035923415145373,0.3277743112505537
spanish,0.3868150271645941,0.36591286555084496,0.2709769557534184,0.274616806996983,0.32732683535398854,0.3176794549641984,0.21925494834371226
swahili,0.329555772626505,0.3805022174748045,0.2784131670757705,0.292118191002025,0.29439796075012026,0.2958777327314639,0.275
turkish,0.24446151121745047,0.347236358288258,0.21341504291450433,0.30024645709658454,0.2659080117391552,0.26421389954974467,0.25948736433902375
