,1gram,2gram,3gram,sk2gram,sk3gram
arabic,0.5193849416543357,0.7684380364154233,0.41918758346088253,0.34784031534355053,0.4548900008759046
english,0.4254187404599026,0.39466424996458466,0.42184606212811343,0.4203732779097538,0.37879938374091143
french,0.5773502691896257,0.4289392305415482,0.46727968891105826,0.36323737601848277,0.35172639879689
german,0.38771145343157143,0.4114380319123789,0.3957188479127657,0.41395283541297273,0.33736347027715513
russian,0.9412363815354386,0.7358092727460714,0.43123915637803856,0.6252342980410138,0.4700915457856043
