,1gram,2gram,3gram,sk2gram,sk3gram
arabic,1.0,1.0,1.0,1.0,1.0
english,1.0,1.0,0.8888888888888888,0.8888888888888888,0.6666666666666666
french,1.0,1.0,1.0,0.625,0.42857142857142855
german,0.8333333333333334,1.0,1.0,0.9090909090909091,0.5
russian,1.0,1.0,1.0,1.0,0.8
