,11
arabic-1gram,1.0
arabic-2gram,1.0
arabic-3gram,1.0
arabic-sk2gram,0.8611550838713993
arabic-sk3gram,0.6905174964168527
arabic-xsk2gram,0.9849078528934488
arabic-xsk3gram,0.7766869900902149
english-1gram,0.22554495275564684
english-2gram,0.31250067185335123
english-3gram,0.43178561471157534
english-sk2gram,0.6670998119596351
english-sk3gram,0.5771910060947356
english-xsk2gram,0.5530264460622956
english-xsk3gram,0.3665943623530205
french-1gram,0.624781711495995
french-2gram,0.25458608633575414
french-3gram,0.510380921173264
french-sk2gram,0.5684937816593202
french-sk3gram,0.4612403296800165
french-xsk2gram,0.40475522654321683
french-xsk3gram,0.7065075918644396
german-1gram,0.728251978713577
german-2gram,0.5342217597171369
german-3gram,0.2100075361939541
german-sk2gram,0.2983283891892744
german-sk3gram,0.5087962749314305
german-xsk2gram,0.5678361083002389
german-xsk3gram,0.22348672569255779
russian-1gram,1.0
russian-2gram,1.0
russian-3gram,0.9351701532437544
russian-sk2gram,0.9685960262111122
russian-sk3gram,0.9704599995593691
russian-xsk2gram,1.0
russian-xsk3gram,0.7442614228505154
