,8
arabic-1gram,1.0
arabic-2gram,1.0
arabic-3gram,1.0
arabic-sk2gram,1.0
arabic-sk3gram,1.0
arabic-xsk2gram,0.8759568912735048
arabic-xsk3gram,0.738242858416913
english-1gram,0.4302566181947453
english-2gram,0.32813324892699813
english-3gram,0.38199124572388216
english-sk2gram,0.315309277498068
english-sk3gram,0.22956483027029542
english-xsk2gram,0.5399452938448311
english-xsk3gram,0.43501227677024296
french-1gram,0.7283377297698964
french-2gram,0.3911260181827426
french-3gram,0.33223279697987074
french-sk2gram,0.612600252293745
french-sk3gram,0.5078373408680449
french-xsk2gram,0.5711009604335178
french-xsk3gram,0.43308348539279223
german-1gram,0.7687646608414502
german-2gram,0.43517293345968766
german-3gram,0.4333416079460671
german-sk2gram,0.5312711299008775
german-sk3gram,0.5404731738354757
german-xsk2gram,0.3435334903786614
german-xsk3gram,0.5700333566246829
russian-1gram,1.0
russian-2gram,1.0
russian-3gram,1.0
russian-sk2gram,1.0
russian-sk3gram,0.9016139873082228
russian-xsk2gram,0.9956136131558465
russian-xsk3gram,0.9888728432132555
