,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,0.9591274884449843,0.9721978920760146,0.98723626629272,0.8928660916305711
english,0.7880925648657311,0.571572928438642,0.6284794167628083,0.7108323051096841,0.7687102101133941,0.7232292729700496,0.6738934921771628
french,0.7902652239034152,0.6615856017390279,0.704393294139154,0.7832136400195073,0.6237978586711246,0.6908720721608524,0.7307855471398552
german,0.7581814623092679,0.6259583951623038,0.6356961678423129,0.7094472207812702,0.7395289876775344,0.6773108976631693,0.6399792837374821
russian,1.0,1.0,1.0,1.0,0.9879341655517793,1.0,1.0
