,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,1.0,0.8956153861230325,0.8270371084000275
english,0.6066530321303826,0.5676169316204441,0.5761290997701599,0.5965476826042526,0.5840657846737747,0.6648587139705581,0.6259501161259289
french,0.8025818429973944,0.5366414872595422,0.5929292212918839,0.6827002210220847,0.6230779776363568,0.6657755179526267,0.6180289223321054
german,0.8152773840475522,0.5568319170016984,0.6190813941748992,0.6391589073112325,0.6519778168650839,0.5488930046596548,0.6628809064696465
russian,1.0,1.0,1.0,1.0,0.9147087155423086,0.9912655390363547,0.9779905885979653
