,1gram,2gram,3gram,sk2gram,sk3gram
arabic,0.9333333333333333,0.9047619047619048,0.7894736842105263,0.9285714285714286,0.7
english,1.0,0.875,0.7777777777777778,0.6666666666666666,0.7142857142857143
french,1.0,1.0,0.6666666666666666,0.4,0.6923076923076923
german,1.0,1.0,0.7,0.6666666666666666,0.75
greek,1.0,0.7272727272727273,0.9444444444444444,0.7777777777777778,0.5714285714285714
hebrew,1.0,0.9375,0.6470588235294118,0.9230769230769231,0.9285714285714286
russian,1.0,1.0,0.9285714285714286,0.8181818181818182,0.7
