,1gram,2gram,3gram,sk2gram,sk3gram
arabic,0.9109666578375628,0.5049745296262663,0.6182554712162845,0.5051418420646154,0.4449810524344801
english,,0.43748233056983954,0.3899974682828701,0.3551670055276353,0.28784332868647045
french,0.461864406779661,0.43602673622424737,0.42167025121132323,0.39949361277519585,0.27906596462986355
german,0.3755956452417734,0.46099024386299636,0.4028790875342913,0.3629824018929159,0.35416112161550645
greek,0.9366449936494022,0.6262655087819174,0.656105013204825,0.55851704989686,0.4352752816480621
russian,0.5989829838180678,0.745670923598496,0.6239674995331141,0.4663333969563238,0.39723253824896687
