,3
arabic-1g,1.0
arabic-2g,1.0
arabic-3g,1.0
arabic-sk2g,1.0
arabic-sk3g,1.0
english-1g,0.7171403472725744
english-2g,0.3132108486439195
english-3g,0.5294117647058824
english-sk2g,0.7171403472725744
english-sk3g,0.5064283582064565
french-1g,0.8832511167403718
french-2g,0.7934333448755123
french-3g,0.5189993742175272
french-sk2g,0.5856121893923751
french-sk3g,0.5211823172613461
finnish-1g,0.7484297866541864
finnish-2g,0.8383945229158561
finnish-3g,0.5279733726900191
finnish-sk2g,0.5300342851242522
finnish-sk3g,0.7086681837371208
german-1g,0.99073676844588
german-2g,0.6087875684843753
german-3g,0.5943142795172773
german-sk2g,0.5572950558992584
german-sk3g,0.6168493013686275
greek-1g,1.0
greek-2g,1.0
greek-3g,1.0
greek-sk2g,1.0
greek-sk3g,1.0
hebrew-1g,1.0
hebrew-2g,1.0
hebrew-3g,1.0
hebrew-sk2g,1.0
hebrew-sk3g,1.0
icelandic-1g,0.8014911643017705
icelandic-2g,1.0
icelandic-3g,1.0
icelandic-sk2g,0.7850059214217053
icelandic-sk3g,0.8277843855036229
russian-1g,1.0
russian-2g,1.0
russian-3g,1.0
russian-sk2g,0.9840705819473146
russian-sk3g,0.9939334470928337
spanish-1g,0.7690567651791106
spanish-2g,0.7487323155558826
spanish-3g,1.0
spanish-sk2g,0.7044032426398232
spanish-sk3g,0.49233391237499835
swahili-1g,0.844453503844259
swahili-2g,0.5744387191729328
swahili-3g,0.6073053446535079
swahili-sk2g,0.8848589324778454
swahili-sk3g,0.7202252839702663
turkish-1g,0.8556220708245138
turkish-2g,0.7151413249739613
turkish-3g,0.8849866680488843
turkish-sk2g,0.6470884068957454
turkish-sk3g,1.0
n_topics_real,22.0
purity_threshold,0.18393972058572117
