,1g,2g,3g,sk2g,sk3g
arabic,1.0,1.0,1.0,1.0,1.0
english,0.41045238256905625,0.23752495926947895,0.3077935056255462,0.2291498472826297,0.3721983065876935
french,0.5919332086821988,0.31075323845074193,0.42803206067505944,0.3081120073874519,0.49116734650895105
finnish,0.7879346972963254,0.6337555594088846,0.7734924681537618,0.45005058293398886,0.532251712039614
german,0.6531903808215299,1.0,0.34964537058223577,0.670422683816333,0.523077663041131
greek,1.0,1.0,1.0,1.0,0.8959467742767057
hebrew,1.0,1.0,1.0,1.0,1.0
icelandic,0.6967896872370329,0.8939035350965676,0.5078333750770081,0.9221079114817278,1.0
russian,1.0,1.0,1.0,0.9939197892300334,0.9834471059156332
spanish,0.72825988466313,0.32824397594488725,0.36130754683623506,0.674199862463242,1.0
swahili,0.7028364838029394,0.5074279000037192,0.6653158742459233,0.5522081712937976,0.4759131837813813
turkish,0.9606605683724367,0.5694067744401607,0.6831683168316832,0.9839948356327152,0.8476091015362177
