,4
arabic-1g,1.0
arabic-2g,1.0
arabic-3g,1.0
arabic-sk2g,1.0
arabic-sk3g,1.0
arabic-xsk2g,1.0
arabic-xsk3g,0.9624227155803501
english-1g,0.5010467604928537
english-2g,0.5306623862918075
english-3g,0.6120350252681065
english-sk2g,0.5577906739468028
english-sk3g,0.45112515481229765
english-xsk2g,0.569266401369751
english-xsk3g,0.6260726985232612
french-1g,0.7010264592393617
french-2g,0.6153846153846153
french-3g,0.4666030605249687
french-sk2g,0.6571399295518838
french-sk3g,0.5341867126320313
french-xsk2g,0.4950681405754129
french-xsk3g,0.6552750940707102
finnish-1g,0.6086614402397001
finnish-2g,0.6120350252681065
finnish-3g,0.664643122106762
finnish-sk2g,0.6689301961684353
finnish-sk3g,0.7187820594724668
finnish-xsk2g,0.7960054587995802
finnish-xsk3g,0.686224812723088
german-1g,0.674137419215634
german-2g,0.46359038403827485
german-3g,0.4869488539227615
german-sk2g,0.590083686811795
german-sk3g,0.6340280261056174
german-xsk2g,0.8541019662496846
german-xsk3g,0.7617055089984421
greek-1g,1.0
greek-2g,1.0
greek-3g,1.0
greek-sk2g,0.9970586963057714
greek-sk3g,0.9974024572017692
greek-xsk2g,1.0
greek-xsk3g,0.9931008223182852
hebrew-1g,1.0
hebrew-2g,1.0
hebrew-3g,1.0
hebrew-sk2g,1.0
hebrew-sk3g,0.9953682848618818
hebrew-xsk2g,0.9751696113152085
hebrew-xsk3g,1.0
icelandic-1g,0.7746362284884496
icelandic-2g,0.605423185341927
icelandic-3g,0.8693416654822482
icelandic-sk2g,1.0
icelandic-sk3g,1.0
icelandic-xsk2g,0.7950021185312784
icelandic-xsk3g,0.8189171263722479
russian-1g,1.0
russian-2g,1.0
russian-3g,1.0
russian-sk2g,0.9886053958858811
russian-sk3g,0.9163325089626797
russian-xsk2g,0.9615192605143769
russian-xsk3g,0.944826991769182
spanish-1g,0.6283803394146525
spanish-2g,0.5082015951942105
spanish-3g,0.6273619467412256
spanish-sk2g,0.670846641069622
spanish-sk3g,1.0
spanish-xsk2g,0.7697195436908482
spanish-xsk3g,0.9307960772384729
swahili-1g,0.692069881828681
swahili-2g,0.5917470009250059
swahili-3g,0.657786274070882
swahili-sk2g,0.7422591664756146
swahili-sk3g,0.8014080405757995
swahili-xsk2g,0.7772383352613251
swahili-xsk3g,0.8944099653324245
turkish-1g,0.9213693707627107
turkish-2g,0.6111649944340536
turkish-3g,0.6376881324136161
turkish-sk2g,0.651223350921349
turkish-sk3g,0.8528726419661551
turkish-xsk2g,0.8052256678219024
turkish-xsk3g,0.7487553874441731
