,1g,2g,3g,sk2g,sk3g,xsk2g,xsk3g
arabic,1.0,1.0,1.0,1.0,0.8652093589691077,0.9828996810861707,0.9767186838611739
english,0.25914294733808046,0.28449511839138464,0.2638510278875801,0.31104259640143733,0.38314909867843466,0.4611759787522417,0.294174202707276
french,0.31587311246003336,0.3672134664828817,0.43983847105174384,0.3921409946482262,0.38195099933631604,0.37821890148505477,0.3894897016708917
finnish,0.3270394985754215,0.43793817518293277,0.5222329678670935,0.5777622211243238,0.5998691460946403,0.5441038619478709,0.4166696777650346
german,0.379079649431688,0.3179262746539708,0.3582716783229414,0.501310627231278,0.6324555320336759,0.48761863987521975,0.5222329678670935
greek,1.0,1.0,1.0,1.0,1.0,0.8276950349386785,0.9684402125827426
hebrew,1.0,1.0,1.0,0.8961990775602352,0.9629283927770894,1.0,0.9507244147197075
icelandic,0.5823869764908659,0.575150225490696,0.5976143046671968,0.42969435238201475,1.0,0.7226568811456053,1.0
russian,1.0,1.0,1.0,1.0,0.8572263054207117,0.9096785294106933,0.8662391053409028
spanish,0.2909542165779135,0.36929015088966677,0.39735970711951313,0.5291336839893998,1.0,0.4049153725730702,1.0
swahili,0.851748936078004,0.4722953247882172,0.4444370062816899,0.4320844806880006,0.4869560763552885,0.8630543739971821,0.7013339980622391
turkish,0.6614546500695142,1.0,0.6030226891555273,0.5165189020569662,0.8408964152537145,0.4984519826617343,0.467648930822808
