,1g,2g,3g,sk2g,sk3g,xsk2g,xsk3g
arabic,1.0,1.0,1.0,0.811008516155702,0.9488135388439976,0.9943975386866605,0.9224904592038127
english,0.5358322898371244,,0.4375,0.43696756625234023,0.3697654293626066,0.3819703400913979,0.3307290602791458
french,0.42553635451187494,0.4117603084720503,0.3184371528611798,0.2765276202845054,0.31147167860084607,0.39084637859983395,0.3366433639421075
finnish,0.4753146626486142,0.3591002513919715,0.540412275107784,0.5681096832337497,0.534924112754851,0.433418945199315,0.6937218462755804
german,0.39049004958438993,0.38042011535195536,0.3931197886198071,1.0,0.5,0.6248586502638337,0.5003479474489222
greek,1.0,1.0,1.0,1.0,0.9906536587938549,1.0,0.8377456255170367
hebrew,1.0,1.0,1.0,1.0,1.0,1.0,0.8806519689728103
icelandic,0.4304523105771912,0.4244849732783385,0.5142492709365918,0.4701102863208543,1.0,1.0,0.6299605249474366
russian,1.0,1.0,1.0,0.9958674857386123,0.9036295236492011,0.8552356165483461,0.9606605683724367
spanish,0.4168659255366475,0.4400558683966967,0.5978739676894284,0.45740007021471196,1.0,0.8567252750493096,1.0
swahili,0.5207013937888649,0.45449560016258556,0.4214656094451341,0.6051211269118913,0.5400617248673217,0.6689964134945325,0.482177641007584
turkish,0.6752164686458086,0.5137089453729957,0.5304466761813,0.7615837841861218,0.5892219763507696,0.8578928092681435,0.5863019699779287
