,1g,2g,3g,sk2g,sk3g,xsk2g,xsk3g
arabic,1.0,1.0,1.0,0.9913406873113764,0.7611424138410247,0.9946230324927747,0.9350611267692984
english,0.9641925040026272,0.383404208721041,0.4364357804719847,0.40349455440607523,0.4412372370609567,0.4081441377465267,0.3071804943499485
french,0.7565428747114508,0.4561387887958222,0.4405229647402871,0.5214153761581165,0.5217248373867949,0.4482197151624924,0.3605623925768521
finnish,0.7542649537555955,0.5345224838248488,0.3902680925533191,0.6865890479690393,0.6788255560517162,0.5197777480107132,0.5764181114117546
german,0.7438689130822451,0.43772755333784924,0.4086479466354544,0.4651820507237384,0.42984233646263453,0.7711621649767607,0.8599476570625982
greek,1.0,1.0,1.0,1.0,1.0,1.0,0.9244317242460193
hebrew,1.0,1.0,1.0,1.0,0.9809156223629847,0.9330329915368074,0.8048156417086365
icelandic,0.8908987181403393,0.5865545021796511,0.6803749333171202,0.5816165440564247,1.0,0.6751063811791637,0.7688809598286291
russian,1.0,1.0,1.0,1.0,0.9752281484642602,0.8837800519352085,0.9767186838611739
spanish,0.6660376011148066,0.3043478260869566,0.4472135954999579,0.49473061554207376,1.0,0.7598356856515925,0.6988271187715792
swahili,0.7311104457090247,0.48289695007372196,0.5635888721391589,0.5503325404260483,0.605304857306426,0.7145687424071577,0.7126105262269646
turkish,0.8325532074018731,0.35239592389142466,0.7211247851537042,0.5891687556200337,0.5747316171930866,0.5896342802416663,0.6628970330789291
