,1gram,2gram,3gram,sk2gram,sk3gram
arabic,1.0,0.4792425593979951,0.5779828159165249,0.5041698851796477,0.3634755650526621
english,0.46256488030100706,0.4194315277586149,0.35184813921828734,0.33938458580446257,0.3770331741154199
french,0.526834215975493,0.4370042075567336,0.36065573770491804,0.3112022603498355,0.3525821169526643
german,0.46520269196517366,0.40763813069353555,0.3967662108496891,0.37614492817226736,0.36382051150055017
russian,0.9345357504277305,0.6250185316345352,0.4410567885726621,0.6067654218766931,0.45574201574148787
