,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,0.9906487322713732,0.9871056541118072,0.9040338577589108
english,0.6529663052452893,0.46950261361907164,0.5223190058819535,0.6033634884013088,0.6664018808555691,0.627752382478278,0.6313726143412107
french,0.6718483099560186,0.5502334026047864,0.617242417286294,0.6872899590240917,0.6251654774798068,0.6006572053721397,0.5613457124197931
german,0.6936048795563095,0.5224663024041108,0.5816232934280603,0.5972845324821551,0.602641935618061,0.7170433970938805,0.6901065607151525
russian,1.0,1.0,1.0,1.0,1.0,1.0,0.9914027352988006
