,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,0.9599236454259081,0.9936615356119533,1.0,0.9614677279883976
english,0.9557223054326192,0.6289459755080747,0.499322447667383,0.6999819630636962,0.6576362043480406,0.6356657396304446,0.6590045146910755
french,0.9622238368941451,0.6889713595271671,0.6162796073338048,0.5996303263581368,0.6144244625259482,0.6840535268101449,0.6527659816769864
german,1.0,0.7665283729661313,0.7931416925693991,0.710683635916968,0.8009972049642883,0.6912844425783531,0.7532165715512718
russian,1.0,1.0,1.0,1.0,1.0,0.9918064477852397,0.9889340668608627
