,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,0.9640946161691637,0.8585171162704249,1.0,0.7924381087567209
english,0.488981979046963,0.4811810000190599,0.47484874931710075,0.5547169311707617,0.5305836987154129,0.4632282256381406,0.5492802716530588
french,0.48593679219576336,0.5684261147162727,0.46024093587150344,0.5727629047131421,0.4656223360102814,0.5091870070834601,0.4661765207195626
german,0.5424089233615919,0.5639207592256482,0.5615310544043421,0.5006864041087923,0.6987385520974977,0.506217373530571,0.5135390141816115
russian,1.0,1.0,1.0,0.9965753424657534,0.9783353393418595,0.9835526315789473,0.6817133582300684
