,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
english,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
french,0.0,0.25,0.0,0.0,0.25,0.125,0.0
finnish,0.3333333333333333,0.6,0.25,0.6666666666666666,1.0,1.0,0.5
german,0.5,0.5,0.25,1.0,0.2,0.5,0.25
greek,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hebrew,1.0,1.0,1.0,1.0,1.0,1.0,1.0
icelandic,0.8333333333333334,0.25,0.6666666666666666,0.5,0.8,0.6,1.0
russian,1.0,1.0,1.0,1.0,1.0,1.0,1.0
turkish,0.8571428571428571,0.375,0.4,0.5,1.0,0.8333333333333334,1.0
