,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,1.0,0.9951271197002667,0.9727900322344836
english,0.3430631249381193,0.27609482724831214,0.5076794731095531,0.3323108320217948,0.3569532010545719,0.43255137914767283,0.3702027661898798
french,0.350186295683554,0.473665466715671,0.42234610751265983,0.3663876809275722,0.3120323728964204,0.5415217109383746,0.29906463377071824
finnish,0.4909936893706293,0.3955457786468927,0.4746184412359813,0.3919228327043037,0.6501542794476929,0.498801256783555,0.4517074598364782
german,0.2945347498471228,0.8732394366197183,0.431062626431629,0.4451922393792608,0.5183734128907075,0.5750816584478015,0.6472757307238636
greek,1.0,1.0,1.0,1.0,0.8857000285382948,0.9982046640022424,0.9761733783954238
hebrew,1.0,1.0,1.0,1.0,1.0,1.0,1.0
icelandic,0.443676287295257,0.40906072567631896,0.5463118550997725,0.7749387179951807,0.7775728681078007,1.0,0.9916666666666667
russian,1.0,1.0,1.0,0.9877011756841471,0.8632542501772779,0.9980806094848397,0.5599023368893016
turkish,0.7267673539632352,0.5820553056131657,0.5122350387582012,0.8414340022057699,0.5244044240850758,0.5,0.4886777774252209
