,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,0.9763609170102302,1.0,0.9867279947425632
english,0.46391856997599523,0.28106938645110396,0.29023824457196523,0.3445612173476285,0.3949016943584678,0.4540439517209684,0.3330201875403627
french,0.6453425095372133,0.372544811585344,0.3926326658385192,0.39386391144115607,0.4111394647163663,0.38012426301122937,0.35621412685855236
finnish,0.6387573813282875,0.5970359695410987,0.6286438001800334,0.5278039149657497,0.533025427872336,0.7285505781660517,0.69015648060255
german,0.6196495719564702,0.443052857498298,0.4045991465726801,0.7598356856515925,0.5860109754546365,0.8586207034844889,0.694061234872316
greek,1.0,1.0,1.0,1.0,0.9947504748695322,1.0,0.871873586815446
hebrew,1.0,1.0,1.0,0.9454647191178356,1.0,1.0,1.0
icelandic,0.6448294026053645,0.9017797429984135,0.8660254037844387,0.6725061970629179,0.5866312698522824,0.7193464890445432,1.0
russian,1.0,1.0,1.0,0.9984928310017074,1.0,0.9378431046041013,1.0
turkish,1.0,0.6177116217525991,0.6105606602020633,0.623531907763744,1.0,0.7202213040886446,0.943722057435498
