,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,0.998439922397893,1.0,1.0
english,0.5535595420845317,0.3737767517722614,0.44095855184409843,0.4489991151609534,0.47481427447882607,0.44447937228753964,0.3838232356967255
french,0.8438328076416655,0.37662337662337664,0.4188039474894849,0.34714380017143565,0.39807890941617563,0.41651567487993363,0.4631404200820961
finnish,0.7251042538623511,0.612198235447329,0.5554337963920487,0.6357217060531593,0.7135584998890907,0.7211734962099249,0.7566984589588172
german,0.9296419861198797,0.40087425496129675,0.4680267061603027,0.7231399739833896,0.7067436965523504,0.645165774960514,0.7793306085365342
greek,1.0,1.0,1.0,1.0,1.0,0.9194592775159782,0.8801845818677436
hebrew,1.0,1.0,1.0,1.0,1.0,1.0,1.0
icelandic,0.5430620118418769,0.5942350144222471,0.6431099200003791,1.0,0.6494350613007311,0.565066201462959,0.917906119102468
russian,1.0,1.0,1.0,0.9235793168208298,0.9290943764625602,1.0,0.9951137726369095
turkish,0.8156432466270184,0.6115273279853675,0.8491906647824764,0.8106130830989491,0.5834984458371916,1.0,0.7443862602572463
