,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
english,1.0,0.0,0.25,0.5,0.5,0.0,0.3333333333333333
french,0.8888888888888888,0.5,0.6,0.5,0.3333333333333333,0.25,0.6666666666666666
finnish,1.0,0.8333333333333334,0.7142857142857143,0.5,0.8888888888888888,0.8,0.6666666666666666
german,1.0,0.6,0.42857142857142855,1.0,0.375,0.5,0.0
greek,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0
hebrew,1.0,1.0,1.0,1.0,1.0,1.0,1.0
icelandic,1.0,1.0,0.8333333333333334,0.625,1.0,1.0,1.0
russian,1.0,1.0,1.0,1.0,1.0,1.0,1.0
turkish,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0
