,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
english,0.5714285714285714,0.0,0.0,0.42857142857142855,0.42857142857142855,0.5,0.2857142857142857
french,1.0,0.0,0.14285714285714285,0.25,0.0,0.16666666666666666,0.6666666666666666
finnish,0.8,0.8333333333333334,0.6666666666666666,1.0,1.0,1.0,1.0
german,0.9166666666666666,0.14285714285714285,0.3333333333333333,0.75,0.6666666666666666,0.6666666666666666,0.8571428571428571
greek,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571
hebrew,1.0,1.0,1.0,1.0,1.0,1.0,1.0
icelandic,0.5714285714285714,0.6,0.75,1.0,0.75,0.6666666666666666,1.0
russian,1.0,1.0,1.0,1.0,1.0,1.0,1.0
turkish,0.9090909090909091,0.6666666666666666,0.8333333333333334,0.8,0.625,1.0,0.7777777777777778
