,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,0.9221079114817278,0.8792355632559147,0.8264643478590342
english,0.6211939293880522,0.5565174432648562,0.5736964077412094,0.6954021175312292,0.5531372952746298,0.6096212880308374,0.5461860250872488
french,0.5690633840563876,0.6154096291627549,0.708572305810513,0.6076924805275007,0.6317202003587634,0.5977961028090021,0.633888389214425
german,0.7064192651025922,0.564369495386197,0.6098323990576233,0.5795912521824279,0.5990604819185291,0.6375017049423877,0.5156162057341218
russian,1.0,1.0,1.0,1.0,1.0,0.9231670152682071,1.0
