,1gram,2gram,3gram,sk2gram,sk3gram
arabic,1.0,1.0,1.0,0.8,0.6
english,1.0,1.0,0.875,0.875,0.3333333333333333
french,0.9230769230769231,1.0,1.0,0.5,0.75
german,1.0,1.0,1.0,0.6666666666666666,1.0
russian,1.0,1.0,0.9,0.9230769230769231,0.4
