,1gram,2gram,3gram,sk2gram,sk3gram
arabic,0.8221995711937687,0.5474844748146589,0.6912675501762425,0.44971478463232095,0.48049750875455616
english,0.4720654934123298,0.42443014279882696,0.4125800569290791,0.36751425067090937,0.3593183117423602
french,0.575453716821408,0.40978503815768774,0.41021269989169806,0.32324964584855914,0.35503662533464686
german,0.6114574011363074,0.3928948500691023,0.43083465872394433,0.38677453214240926,0.3714121795777021
russian,0.8060397049989455,0.6220915696260867,0.6512448631057853,0.5451259246352483,0.431540745454826
