,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
english,0.5,0.7777777777777778,0.7,0.75,0.2,0.6,0.3333333333333333
french,0.5714285714285714,0.2222222222222222,0.6666666666666666,0.6363636363636364,0.5,0.5,0.2857142857142857
german,0.5,0.5454545454545454,0.6,0.5714285714285714,0.5,0.5,0.6
russian,1.0,1.0,1.0,1.0,1.0,1.0,1.0
