,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,0.9934634919556956,0.7510499815709779,1.0,1.0
english,0.5229222704116379,0.6012854886644342,0.5330345752683525,0.6186099808728225,0.5292683564890075,0.5600479791755865,0.455831239385445
french,0.461816906838364,0.5717754401014762,0.5774462439586555,0.5705894646855203,0.5340115151226672,0.5030105162936666,0.5338641146183041
german,0.6143962976214428,0.6055671323027518,0.5137000320793925,0.6287555979317652,0.6555674750030581,0.5803410575415421,0.5756900340877925
russian,1.0,1.0,1.0,1.0,0.9106416928094863,0.9620668958490077,0.7180703308172536
