,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,0.9544360380644983,0.9748450129372827,1.0,0.9792749099032926
english,0.7652554676356768,0.6357529200815929,0.6047266122382763,0.5862832126007846,0.6731503149494668,0.6755904249396056,0.7610164864469985
french,0.75695398450144,0.5882351161426439,0.6095924316179151,0.6943738741957199,0.7727867418300565,0.6741899052167505,0.6522571474436317
german,0.8141256307848729,0.527917099646185,0.6517213340839203,0.7504690161334819,0.7677038992747549,0.7105238417625427,0.6775813335218515
russian,1.0,1.0,1.0,1.0,1.0,1.0,1.0
