,9
arabic-1gram,1.0
arabic-2gram,1.0
arabic-3gram,1.0
arabic-sk2gram,0.9894856300927413
arabic-sk3gram,0.9493010551796701
english-1gram,1.0
english-2gram,0.8966692278998989
english-3gram,0.8967047826659312
english-sk2gram,0.8490806492747136
english-sk3gram,0.8665216402501802
french-1gram,1.0
french-2gram,0.9184953171560124
french-3gram,0.9364660657693278
french-sk2gram,0.8767487256283233
french-sk3gram,0.9534557442134742
german-1gram,0.9970554326189027
german-2gram,0.8905740646706085
german-3gram,0.8738483819811691
german-sk2gram,0.9059541727546386
german-sk3gram,0.9201323729934486
russian-1gram,1.0
russian-2gram,1.0
russian-3gram,1.0
russian-sk2gram,0.996024997501603
russian-sk3gram,0.9963617111593958
