,1g,2g,3g,sk2g,sk3g,xsk2g,xsk3g
arabic,1.0,1.0,1.0,0.8735804647362989,1.0,0.8298265333662435,1.0
english,0.49999999999999994,,,0.3333333333333333,0.3206465864117307,0.3757001509908026,0.40658513648897826
french,0.42184606212811343,0.3333333333333333,0.3317011842811161,0.3834019461140873,0.4754716659952198,0.4248741838152054,0.2774935562321579
finnish,0.456295538651608,0.4010588302627202,0.4486963793429153,0.6694329500821695,0.426049739219835,0.5683354051333923,0.47282334561308226
german,0.3843873100863818,0.3860661056509145,0.3704978493499831,0.46656389460215597,0.40569661365913545,0.41325978856703366,0.40212890432361853
greek,1.0,1.0,1.0,1.0,1.0,1.0,0.9853975403131593
hebrew,1.0,1.0,1.0,0.9289853059279986,1.0,1.0,1.0
icelandic,0.47059583746780853,0.40265725208022723,0.3430112203570627,0.4040135490937215,0.4866642633922876,1.0,1.0
russian,1.0,1.0,1.0,0.957890051943956,0.8177665775471474,0.9933551137765035,0.8187215474159861
spanish,0.4605661864718383,0.2857142857142857,0.34018746665856014,0.4931602557164672,1.0,0.6246950475544243,1.0
swahili,0.3770301115511388,0.33472520041911885,0.43503830251203895,0.4894130688674488,0.3833639140087916,0.5297270429086454,0.4669530091796763
turkish,0.4551438007589617,0.5590169943749475,0.9411764705882353,0.9128709291752769,0.4524450533353896,0.4616969902571502,0.47576039628423844
