,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,0.9871752429174099,1.0,0.9899467713262614
english,0.46585888882772947,0.3280203414383077,0.38959126746348516,0.43664841707854035,0.39785074627888734,0.40448958969121135,0.37444361936092535
french,0.5962762107369874,0.3717168180401291,0.4194510199588279,0.4971210407532889,0.4339916718861851,0.46111320014250057,0.39988933193540177
finnish,0.4821002595918951,0.3457870019190255,0.5178435474974898,0.590162452822156,0.5639732801482541,0.7977240352174656,0.6191976988439284
german,0.7673037487395677,0.5703507905808299,0.48076359699400756,0.5395397105618143,0.5796171525878081,0.37744361687554606,0.6786044041487267
greek,1.0,1.0,1.0,0.9340131102184623,0.9740037464252967,1.0,1.0
hebrew,1.0,1.0,1.0,1.0,1.0,1.0,1.0
icelandic,0.5080934940465703,0.42106264993805526,0.5408903705332014,0.7010348354704531,0.5818107591526881,0.7937005259840998,0.6729864884660303
russian,1.0,1.0,1.0,1.0,0.9761074701884114,0.8967474303282934,0.8868042821547084
spanish,0.5611855733634188,0.31126131733866513,0.3712087626886355,0.4684399465498147,0.5721248424548514,0.42969435238201475,0.5452497568062706
swahili,0.6564197879454707,0.43235450411679577,0.35633086690202054,0.5054563127329421,0.5153786726049004,0.5421205093353811,0.47055389427826805
turkish,0.5431251809361624,0.48795003647426655,0.628036928969463,0.6006009596251295,0.7071067811865476,0.6683250619582689,0.721023747812814
