,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
english,0.33767076398487483,0.3603749850782236,0.43167001068522526,0.396732621125381,0.3523649366032445,0.36621506849798907,0.320947327874298
french,0.3060119019296062,0.3838882583305546,0.4283974289673176,0.4232961942333263,0.32747234147787413,0.46365894618879183,0.36020105482117876
finnish,0.4148904032986138,0.5268316518217893,0.5706745777055999,0.4001542803183722,0.5802038981336871,0.49333094548965556,0.5837675781612711
german,0.35874059387989954,0.35817243141356475,0.3886781678338522,0.3774769528882376,0.4240268128986881,0.43470470079749035,1.0
greek,1.0,1.0,1.0,1.0,0.8109602660764533,1.0,0.8400718384793261
hebrew,1.0,1.0,1.0,1.0,1.0,0.8908987181403393,1.0
icelandic,0.43786583819611163,0.4328015276270854,0.3705819204597235,0.38702317094861327,0.49593441964128315,0.743960206350907,0.6337996097675076
russian,1.0,1.0,1.0,0.9912655390363547,1.0,0.9432690607682461,0.9476426067531337
spanish,0.3042903097250923,0.28313746322312594,0.4236279429161731,0.6436595897370865,0.5619514869490163,0.45942223772179297,0.3614437520413091
swahili,0.5135330435446759,0.4671379777282001,0.4554012944053684,0.4755792006874467,0.6098697889184346,0.4031751310242381,0.4660239216969095
turkish,0.7504990415001044,0.5169731539571706,0.5542592398328906,0.44964431302260915,0.6002001334371235,0.7952707287670506,0.5345224838248488
