,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
english,0.7142857142857143,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0
french,1.0,0.5,0.25,0.0,0.0,0.3333333333333333,0.4
finnish,0.7777777777777778,0.4,0.5,0.75,0.4,0.4,0.4
german,0.6666666666666666,0.4,0.6666666666666666,0.5,1.0,1.0,0.5
greek,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hebrew,1.0,1.0,1.0,1.0,1.0,1.0,1.0
icelandic,1.0,0.75,0.8333333333333334,0.8,1.0,1.0,1.0
russian,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571
spanish,0.8,0.8,0.25,0.5,0.3333333333333333,1.0,1.0
swahili,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.5,0.8
turkish,0.8333333333333334,1.0,0.5,0.8333333333333334,1.0,0.5,1.0
