,9
arabic-1gram,1.0
arabic-2gram,1.0
arabic-3gram,1.0
arabic-sk2gram,1.0
arabic-sk3gram,1.0
arabic-xsk2gram,1.0
arabic-xsk3gram,1.0
english-1gram,0.0
english-2gram,0.3316110636984398
english-3gram,0.0
english-sk2gram,0.0
english-sk3gram,0.0
english-xsk2gram,
english-xsk3gram,0.0
french-1gram,0.47299346036460155
french-2gram,0.0
french-3gram,0.0
french-sk2gram,0.0
french-sk3gram,0.0
french-xsk2gram,0.0
french-xsk3gram,0.0
finnish-1gram,0.4099183897344602
finnish-2gram,0.5265193212834565
finnish-3gram,0.5265779352671269
finnish-sk2gram,0.41734370216373884
finnish-sk3gram,0.36895622470031025
finnish-xsk2gram,0.96875
finnish-xsk3gram,0.9
german-1gram,0.5877507514384233
german-2gram,0.30964533594450694
german-3gram,1.0
german-sk2gram,0.27235837336530083
german-sk3gram,0.2968206510124127
german-xsk2gram,0.993103448275862
german-xsk3gram,0.4744230427815762
greek-1gram,1.0
greek-2gram,1.0
greek-3gram,1.0
greek-sk2gram,1.0
greek-sk3gram,1.0
greek-xsk2gram,1.0
greek-xsk3gram,1.0
hebrew-1gram,1.0
hebrew-2gram,1.0
hebrew-3gram,1.0
hebrew-sk2gram,0.9750682598103881
hebrew-sk3gram,1.0
hebrew-xsk2gram,1.0
hebrew-xsk3gram,1.0
icelandic-1gram,0.3723519583321423
icelandic-2gram,0.5820483492805087
icelandic-3gram,1.0
icelandic-sk2gram,1.0
icelandic-sk3gram,1.0
icelandic-xsk2gram,0.5717312617029697
icelandic-xsk3gram,0.9110668435605037
russian-1gram,1.0
russian-2gram,1.0
russian-3gram,1.0
russian-sk2gram,1.0
russian-sk3gram,0.9922946006124235
russian-xsk2gram,0.9383775929192248
russian-xsk3gram,0.98597126179648
spanish-1gram,0.0
spanish-2gram,0.30312343634076244
spanish-3gram,1.0
spanish-sk2gram,0.2767953078244528
spanish-sk3gram,0.48629107207096084
spanish-xsk2gram,0.0
spanish-xsk3gram,0.9894736842105264
swahili-1gram,0.4402426235937189
swahili-2gram,0.0
swahili-3gram,0.0
swahili-sk2gram,0.24091551482654883
swahili-sk3gram,0.33146316486371885
swahili-xsk2gram,0.2739947095594321
swahili-xsk3gram,0.0
turkish-1gram,0.28169887099368585
turkish-2gram,1.0
turkish-3gram,1.0
turkish-sk2gram,0.36063186190621266
turkish-sk3gram,0.49657518178931814
turkish-xsk2gram,0.4002429399422308
turkish-xsk3gram,0.4889883723798748
