,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
english,0.5,0.5,0.3333333333333333,0.3333333333333333,0.75,0.0,0.25
french,0.75,0.5,0.3333333333333333,0.25,0.6666666666666666,1.0,0.16666666666666666
finnish,0.5,0.3333333333333333,1.0,0.6666666666666666,1.0,0.8,1.0
german,0.4,1.0,1.0,0.75,0.3333333333333333,0.5,0.6666666666666666
greek,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hebrew,1.0,1.0,1.0,1.0,1.0,1.0,1.0
icelandic,0.5,1.0,1.0,0.7142857142857143,1.0,0.75,1.0
russian,1.0,1.0,1.0,1.0,1.0,1.0,1.0
spanish,1.0,0.5,0.5,0.8,0.3333333333333333,0.4,0.3333333333333333
swahili,0.75,0.25,1.0,1.0,0.6,1.0,0.6666666666666666
turkish,0.6666666666666666,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0
