,3
arabic-1gram,1.0
arabic-2gram,1.0
arabic-3gram,1.0
arabic-sk2gram,1.0
arabic-sk3gram,0.9831779752068392
arabic-xsk2gram,1.0
arabic-xsk3gram,0.9886053958858811
english-1gram,0.8135015537164253
english-2gram,0.46755560129766754
english-3gram,0.4380407441926379
english-sk2gram,0.510663087389424
english-sk3gram,0.60615924649755
english-xsk2gram,0.5586870612519271
english-xsk3gram,0.5026709232998033
french-1gram,0.8811258053760653
french-2gram,0.3629085861382074
french-3gram,0.5380660902805887
french-sk2gram,0.6023426723939025
french-sk3gram,0.6576969787688118
french-xsk2gram,0.6244123085493728
french-xsk3gram,0.6819150373785543
finnish-1gram,0.6946967802429398
finnish-2gram,0.714108879851755
finnish-3gram,0.6471236016980931
finnish-sk2gram,0.5933352148746723
finnish-sk3gram,0.7586166583662344
finnish-xsk2gram,0.7231398995174224
finnish-xsk3gram,0.6291177399300062
german-1gram,0.7867839153700079
german-2gram,0.574892355464353
german-3gram,0.660435602798705
german-sk2gram,0.6026386497171348
german-sk3gram,0.788378557581156
german-xsk2gram,0.798956612686028
german-xsk3gram,0.7929397794844204
greek-1gram,1.0
greek-2gram,1.0
greek-3gram,1.0
greek-sk2gram,1.0
greek-sk3gram,1.0
greek-xsk2gram,0.9963362096516227
greek-xsk3gram,1.0
hebrew-1gram,1.0
hebrew-2gram,1.0
hebrew-3gram,1.0
hebrew-sk2gram,1.0
hebrew-sk3gram,1.0
hebrew-xsk2gram,0.9650382685491719
hebrew-xsk3gram,1.0
icelandic-1gram,1.0
icelandic-2gram,0.6412395144694182
icelandic-3gram,0.836113986704738
icelandic-sk2gram,0.6449149511311256
icelandic-sk3gram,0.7929397794844204
icelandic-xsk2gram,0.750372556300174
icelandic-xsk3gram,0.8341486310592352
russian-1gram,1.0
russian-2gram,1.0
russian-3gram,1.0
russian-sk2gram,1.0
russian-sk3gram,1.0
russian-xsk2gram,1.0
russian-xsk3gram,0.9591671949974239
spanish-1gram,0.8267834684076851
spanish-2gram,0.5147285740190817
spanish-3gram,0.5956142890890085
spanish-sk2gram,0.8849866680488843
spanish-sk3gram,0.5721008922398289
spanish-xsk2gram,0.755315847925112
spanish-xsk3gram,0.8635302623383927
swahili-1gram,0.7948378837130503
swahili-2gram,0.6837562400789474
swahili-3gram,0.5355232182878024
swahili-sk2gram,0.7019265048528813
swahili-sk3gram,0.6855131939274639
swahili-xsk2gram,0.7214597074101144
swahili-xsk3gram,0.7875110303785992
turkish-1gram,1.0
turkish-2gram,0.8954017737589157
turkish-3gram,0.5100402721300052
turkish-sk2gram,0.7087156719980977
turkish-sk3gram,0.5451079429117226
turkish-xsk2gram,0.9440967663801658
turkish-xsk3gram,0.6636389660676923
