,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
english,0.25,0.2,1.0,1.0,0.75,1.0,0.5
french,0.3333333333333333,0.75,0.5,0.75,0.5,0.42857142857142855,0.25
finnish,0.75,0.8,0.0,0.6666666666666666,0.5,0.6666666666666666,0.5
german,0.0,0.6666666666666666,0.75,0.2,0.75,0.7142857142857143,0.5
greek,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hebrew,1.0,1.0,1.0,1.0,1.0,1.0,1.0
icelandic,1.0,0.6,0.4,1.0,0.75,0.75,1.0
russian,1.0,1.0,1.0,1.0,1.0,1.0,1.0
spanish,0.6666666666666666,1.0,0.8,0.8,0.5,1.0,1.0
swahili,0.4,0.0,1.0,0.8,0.5,0.8333333333333334,1.0
turkish,0.3333333333333333,1.0,0.75,0.6666666666666666,1.0,0.5,0.6666666666666666
