,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,1.0,1.0,0.967032967032967
english,0.32018866449570155,0.2598992504743907,0.3761359984245358,0.42857142857142855,0.37239098949398236,0.3968502629920498,0.308531041932434
french,0.29124143711642075,0.4426070237720417,0.31142981694226085,0.34603015478112586,0.3148437595766218,0.37717887192316707,0.2981636359954406
finnish,0.40366071244381724,0.420542197539163,0.29400795561702353,0.4294286830713661,0.5149286505444371,0.5055421404280266,0.5448168470462316
german,0.2571428571428571,0.3166380838643321,0.43527713779415106,0.3301286253672551,0.4865347245952746,0.46728167500505796,0.5
greek,1.0,1.0,1.0,1.0,0.7299198566479815,1.0,1.0
hebrew,1.0,1.0,1.0,1.0,1.0,1.0,1.0
icelandic,0.4379381930001797,0.3583274710551431,0.3690080443496888,0.674199862463242,0.7463819494944633,0.5086989136546124,0.5940885257860046
russian,1.0,1.0,1.0,0.8857000285382948,0.9868950341742893,0.8467664259051785,0.8705505632961241
spanish,0.46770799232012994,0.6255432421712244,0.4026369599240953,0.4755060043066166,0.5150787536377128,0.6123724356957946,1.0
swahili,0.32351394124658617,0.20212765957446807,0.4568075863529422,0.3939943173808234,0.38304464612469324,0.4502666615674686,0.4176916142300706
turkish,0.38157141418444396,0.7142857142857143,0.44303946886403944,0.46415888336127786,0.816496580927726,0.48795003647426655,0.4641588833612779
