,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
english,0.0,1.0,1.0,0.25,0.0,1.0,0.6666666666666666
french,0.2857142857142857,0.5,0.3333333333333333,0.5,0.6666666666666666,0.5,0.3333333333333333
finnish,1.0,0.6666666666666666,0.6,0.5,1.0,1.0,0.6666666666666666
german,0.6666666666666666,1.0,0.3333333333333333,0.2,0.75,0.5,0.5
greek,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hebrew,1.0,1.0,1.0,1.0,1.0,1.0,1.0
icelandic,1.0,0.0,0.6666666666666666,0.2,1.0,0.5,1.0
russian,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666
spanish,0.3333333333333333,0.0,0.6666666666666666,1.0,0.5,1.0,0.5
swahili,0.75,0.6666666666666666,0.2,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0
turkish,0.8,1.0,0.25,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0
