,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
english,0.8888888888888888,0.4,1.0,1.0,0.875,1.0,0.875
french,1.0,0.8,0.875,0.5714285714285714,0.7142857142857143,0.5555555555555556,1.0
finnish,1.0,0.8333333333333334,0.5,0.8571428571428571,0.8888888888888888,1.0,0.875
german,0.8333333333333334,0.5714285714285714,0.875,0.8888888888888888,1.0,0.875,1.0
greek,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hebrew,1.0,1.0,1.0,1.0,1.0,1.0,1.0
icelandic,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,1.0
russian,1.0,1.0,1.0,1.0,1.0,1.0,1.0
spanish,1.0,0.5,0.6,0.8,0.75,1.0,1.0
swahili,0.8,1.0,1.0,0.8181818181818182,1.0,1.0,1.0
turkish,1.0,0.75,1.0,0.6666666666666666,0.8333333333333334,0.8571428571428571,1.0
