,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,0.9916995702908113,1.0,1.0,0.8677691947199075
english,0.41347494495198206,0.49064820209836457,0.49971791849417146,0.5327243681032803,0.594510437305722,0.5107780046800237,0.6256794472986804
french,0.4766310566571657,0.45071439387200063,0.548455954537619,0.5803795474199159,0.5682560138016908,0.4848487592646632,0.4790953303243658
german,0.4692614131472415,0.5804756055589888,0.5506294520402685,0.5273016260488085,0.5091617683952168,0.6495848402091023,0.549191218183427
russian,1.0,1.0,1.0,1.0,0.7071067811865476,0.995012220050588,0.9953703703703703
